question	answer
f r a n c i s c o	f r a n c i s c o
j g o ạ i	n g o ạ i
c j ị	c h ị
9 0 p	9 0 p
f h ứ n g	c h ứ n g
t h á	t h á
t á c g	t á c h
l c d	l c d
b u k i t	b u k i t
t a n g	t r a n g
h g ư ờ	n g ư ờ i
x á n h	c á n h
ạ t	đ ạ t
n ấ k	n ấ u
n ọ t	l ọ t
à n	t à n
c á c g	c á c h
s m a r t p h o n s	s m a r t p h o n e
p a g j n a t i o n	p a g i n a t i o n
g ừ	t ừ
h á i	m á i
e ắ p	s ắ p
b â u	b â u
y r i ệ u	t r i ệ u
h i ệ o	h i ệ p
t o ặ c	h o ặ c
p a l a c e	p a l a c e
u p p e r	u p p e r
l o ạ j	l o ạ i
n ứ n g	n ứ n g
p h u r	p h ủ
w i l l e m	w i l l e m
f h ủ	t h ủ
t h ạ 0	t h ạ o
b r i s g l e f r o n t	b r i s t l e f r o n t
p u l g a	p u l g a
t r ạ g g	t r ạ n g
k j á 0	g i á o
ù n g	c ù n g
l ĩ j h	l ĩ n h
g i n g	g i ọ n g
k ộ	h ộ
p 3 p	p e p
c u n g	c ũ n g
v z l d e s	v a l d e s
s ụ t	s ụ t
d u n q	d u n g
9 m 7 2 9	9 m 7 2 9
n g ư n g	n h ư n g
à i	t à i
đ ứ h g	đ ứ n g
t r 4 q h	t r a n h
c h ú j g	c h ú n g
á c h	c á c h
t r ư o n g	t r ư ơ n g
d o x i	d õ i
k 0 ạ t	h o ạ t
l o a n g	l o a n g
d u ệ n	d i ệ n
v t v c a g	v t v c a b
t ư ơ n g	t ư ờ n g
n ộ k	n ộ i
r ằ b g	r ằ n g
t h ư ơ n m	t h ư ơ n g
b o l d	b o l d
ầ y	l ầ y
q đ	q đ
b í c	b í c h
đ ộ q	đ ộ n g
g h ả m	t h ả m
t j á	g i á
h a i z z z	h a i z z z
c w r l t o n	c a r l t o n
x á d	x á c
r u s s e l l	r u s s e l l
l ê	l ê n
s u n g	d u n g
k h o n g	k h o a n g
l i k e y	l i k e y
i s u	i s u
n ặ c	n ặ c
k u r t	k u r t
y e p	y e p
r á c	r á c
c ự a	c ự a
s u ấ	s u ấ t
g ó l	g ó i
b i	b ị
t r 0 j n q	t r ọ n g
c o n t	f o n t
n g à n t	n g à n h
c â n	s â n
n g h o ệ p	n g h i ệ p
đ ạ p	đ ạ o
y h ố n q	t h ố n g
đ ề	đ ề
d ụ n m	d ụ n g
t é m	t é m
l i ế n	k i ế n
s o t h a v a r i n	s o t h a v a r i n
d ị c g	d ị c h
j h á t	k h á t
d d í c h	đ í c h
n h 0 ả n	k h o ả n
d ộ m g	đ ộ n g
n 4 v r 0 v	l a v r o v
d ă n	d ặ n
s o g g	s o n g
v i ế n m	v i ế n g
n h i ê f u	n h i ề u
b ơ i	b ơ i
h y ệ n	h u y ệ n
t t	t t
n ã j	n ã i
x i n	x i n
t h u â t	t h u ậ t
r i ê n b	r i ê n g
t r ậ m	t r ậ n
f i ế t	t i ế t
c h u g	c h u n g
đ i i i i	đ i
c a m a o	c a m a r o
m ạ n u	m ạ n h
c h 4 4 n	c h â n
c q 0	c a o
đ 4 m q	đ a n g
đ ê	đ i
5 s	5 s
t h ổ	t h ổ
1 4 0 u s d	1 4 0 u s d
t i	t i n
i n s	i n s
j o r g e	j o r g e
r ớ t	r ớ t
b o l i v i a	b o l i v i a
b u k g a r i a	b u l g a r i a
n g ấ t	n h ấ t
t õ	r õ
ư n g	ứ n g
n ụ	n ụ
n g o ắ c	n g o ắ c
4 d r j 3 n	a d r i e n
h p	h ấ p
e m a r t h o n e	s m a r t p h o n e
l ò n f	l ò n g
f ơ m	b ơ m
c b ỉ n h	c h ỉ n h
m i b h	m i n h
d u n n	d u n g
j n g	j o n g
t r ữ	t r ữ
p ờ	p ờ
đ i ề h	đ i ề u
t j e	t u e
c k o	c k o
k y k i e	k y l i e
h ữ i	h ữ u
đ j ề h	đ i ề u
c o r s a i e	c o r s a i r
m u r s i	m u r s i
j h ỏ	n h ỏ
q h ê	g h ê
t r 4 w m	t r ă m
p a r a m	p a r a m s
n b à	n h à
t y b o s h e n k o	t y m o s h e n k o
đ ể u	đ ể u
n j ư	n h ư
d o a m h	d o a n h
c á d h	c á c h
v ó c	v ó c
c a m p u c h i z	c a m p u c h i a
k y ỷ	h u ỷ
m ạ i	m à y
k h ộ	k h ổ
h u	h u
x e t o l	x e t o l
o z o n w	o z o n e
k h ỏ	k h ỏ i
c h ơ	c h ớ
n à n	l à n
t r z i	t r a i
x u ô i	x u ô i
i s c h	í c h
t h a n u	t h a n h
k h 0 ả q q	k h o ả n g
d o r	d i o r
l i n h	l ĩ n h
n h	l y
n ă b g	n ă n g
t ô m g	t ô n g
t ụ c	t ụ c
c h i ế t	c h i ế t
p h ê	p h ê
đ ô	đ ồ
m a c b o o k	m a c b o o k
n i	n à y
f ằ n g	r ằ n g
n g ắ t	n g ắ t
l g	l g
l e g e n x s	l e g e n d s
t h e k	t h e o
t i ế g	t i ế n g
n ư o w n g	n ư ơ n g
c h ậ u	c h ậ u
l a g d r o i	l a g d r o i
r ề n	r ề n
j a c k p o t	j a c k p o t
d i ê u d	đ i ề u
m g a y	n g a y
h ê u	y ê u
c h ồ m q	c h ồ n g
đ ú a	đ ú a
l y o n	l y o n
h ê f	h ề
g h i	g h i
l ỡ	l ỡ
t j y ê n	t u y ê n
3 m j n	e m a i l
t h á y	t h ấ y
y ậ p	t ậ p
v ấ h	v ấ n
l i ê u	l i ệ u
c p	c u p
y i ế p	t i ế p
s ú j g	s ú n g
l ệ c h	l ệ c h
i h u	k h u
n ư ớ f	n ư ớ c
t e c h c o m b a k	t e c h c o m b a n k
r i a n	g i a n
c u n q	c ù n g
q 4 t	g a t
n g ờ i	n g ư ờ i
t q 0 n q	t r o n g
m i a	m i a
c o m m e n g	c o m m e n t
ò n	c ò n
q u ả n h	q u ả n g
k 4 j	h ạ
t r ẻ	t r ẻ
h o ả n	h o ả n g
b u ổ n	b u ổ i
đ a f n	đ à n
t r ấ n	t r ấ n
n ầ n	g ầ n
c o m a n	c o m a n
c h r i s t o p h e r	c h r i s t o p h e r
s p u t n i k	s p u t n i k
q u ỹ	q u ỹ
k a h n	k a h n
n j i ê n	n h i ê n
d ể	d ể
ư ợ c	đ ư ợ c
r i ế u	r i ế u
u ý	k ý
t r i ê r n	t r i ể n
k i ế j	k i ế n
h k ể n	h i ể n
n ế h	n ế u
h g	h y
s ơ	c ơ
p j o n g	p h o n g
n h a	n g a
i p 6	i p 6
đ â u u u	đ â u u u
d i ể m	đ i ể m
b e w t	b e s t
ô i	đ ô i
t 0 ế t	t i ế t
l ế	k ế
t í f h	t í c h
t ư ớ n h	t ư ớ n g
p h â	p h â n
t ố q q	t h ố n g
g o á	g i á
t g á n g	t h á n g
c y u ồ n g	c h u ồ n g
c h ú c	c h ú c
x e h	x e m
p n ú c	p h ú c
n i ệ u	h i ệ u
s á	s á n
c 4 k	c a o
i h ố i	k h ố i
h ô j	h ộ
l ẹ	l ẽ
g à b g	h à n g
b ă f n g	b ằ n g
i ộ n	l ộ n
l ê m	l ê n
m q â n	n g â n
n t ấ t	n h ấ t
n 0 t 3	n o t e
k 0 n 3	h o l e
t h ậ r	t h ậ t
l m	l à m
t h o a	t h o a
t e o	t e o
đ ị m h	đ ị n h
k ồ b q	h ồ n g
t ô	t ô
h i ế p	h i ế p
t h í t	t h í t
đ ứ 4	đ ứ a
q h a n g	q u a n g
o ớ n	l ớ n
x ó	c ó
f ấ n	t ấ n
c h j ê n	c h i ế n
k ị d h	k ị c h
t h 0 4 n q	t h o a n g
n ă n m	n ă n g
h o à g	h o à n
g ậ t	v ậ t
k u ậ t	l u ậ t
k u y n j	h u y n h
đ ẽ	đ ẽ
v ứ t	v ứ t
v k n m 4 r t	v i n m a r t
x u t	x u ấ t
a x	g a x
k h i ế	k h i ế n
b r a z i i	b r a z i l
n j n 0 q	n i l o n
t t	t ố t
5 c 8 1 4 9 7 d 4 f 2 9 8	5 c 8 1 a 9 7 d 4 f 2 9 8
x u h g	x u n g
a n d r o i e	a n d r o i d
n g u	n g ủ
đ ư x	đ ư a
n h u g	n h ữ n g
c h a m	c h a m
s a n t i a g o	s a n t i a g o
n o h	n o h
c i	d i
q u	q u y
V i ệ t	v i ệ t
t i f f a n y	t i f f a n y
d h ỉ n h	c h ỉ n h
c u a	c ủ a
c n	c a n
b o t t o m	b o t t o m
t h ư ơ r n g	t h ư ở n g
d ư j n g	d ự n g
s i z e	s i z e
k h ô q q	k h ô n g
g ó p	g ó p
s o l i d	s o l i d
ố j	t ố i
k è j	k è m
c h u y ê r n	c h u y ể n
h đ x x	h đ x x
c y ú n q	c h ú n g
g i a b	g i a n
n j ệ t	l i ệ t
k u y ê n	c h u y ê n
s i l a	s i l v a
h ư ớ c	b ư ớ c
c ò n	c ò n
l u u	l u i
x z	x a
t y ự c	t h ự c
n â n	n h â n
t j ế n m	t i ế n g
s á q q	s á n g
b á f	b á c
g i á g	g i á m
s o á f	s o á t
h ù g	h ù n g
j i m	j i m
s x n t 4	s a n t a
b i ể m	b i ể n
n h i u	n h i ê u
k h 0 ả n h	k h o ả n h
g i ế t	g i ế t
i i i	i i i
d e	d e c
d ả	c ả
n g h i ệ o	n g h i ệ p
p 0 c h 3 t t j n 0	p o c h e t t i n o
d e s i g n	d e s i g n
n ú t	n ú t
u r	u r
n j v 3 q p 0 0 n	l i v e r p o o l
t r ả i	t r ả i
m ă m	n ă m
g ạ o	g ạ o
g ư ở n g	h ư ở n g
ậ p	l ậ p
n d t	n d t
l h ú	p h ú
q u ả h g	q u ả n g
k h a n h	k h á n h
t ử	t ử
j n h	s i n h
q k á	q u á
n ơ n	n h ơ n
q u ả m	q u ả n
m g h ỉ	n g h ỉ
i n t e r n a t i o n a l	i n t e r n a t i o n a l
n g ử a	n g ử a
x ư ơ n g	x ư ơ n g
y a h o o	y a h o o
t h u y e n	t h u y e n
n y a u	n h a u
c ọ c	c ọ c
l i f e	l i f e
h i l l	h i l l
r ằ m g	r ằ n g
p a r s e i n t	p a r s e i n t
b a h	b a y
k e f m	k è m
r h ư ờ n q	t h ư ờ n g
t ậ t	t ấ t
n n	o n
n h u y ễ g	n h u y ễ n
p 4 r k j n s n	p a r k i n s o n
s a p s	s a p s
đ ô l a	đ ô l a
i b m	i b m
k v	k g
t t ô n q	t h ô n g
t h ư ờ n f	t h ư ờ n g
à i	d à i
c ũ n v	c ũ n g
q á m	g i á m
t u y ê n	t u y ế n
v ặ r	v ặ t
l ã n h	l ã n h
h o t u k d e a l s	h o t u k d e a l s
p h â j p	p h ậ p
t r 0 q 0 d 3 r m 4	t r o g o d e r m a
đ ê h	đ ê m
t h â j t	t h ậ t
a f g h a h i s t q n	a f g h a n i s t a n
t i y	t u y
d ử a	s ử a
x u a a n	x u â n
g l ớ i	g i ớ i
n h c	n h ắ c
c h ằ n q	c h ằ n g
l ệ s h	l ệ c h
n ô i	n ổ i
j d o n	j s o n
p u t j n	p u t i n
s h e l l y	s h e l l y
k k ể m	k i ể m
ặ p	c ặ p
x u y ế n	x u y ế n
q j 4 r n	g i ả n
c a v e o l i n	c a v e o l i n
c n h	c ả n h
g i a r m	g i ả m
n ò q	l ò n g
h l à n	h o à n
k m a i	k h a i
đ ă t	đ ặ t
c h ê t	c h ế t
t ư	t ư
g a n k	g a n h
y â m	h â m
r h o ả i	t h o ả i
t h i y ế t	t h u y ế t
f a s t	f a s t
b u	b u
r ủ	r ủ i
t ỏ	t ỏ a
x u ố g	x u ố n g
i i ể m	k i ể m
a n n i v e r s a r y	a n n i v e r s a r y
t í m h	t í n h
a d d e v e n r l i s t e n e r	a d d e v e n t l i s t e n e r
x â y	d â y
t f ò	t r ò
k h a i	k h a i
b ả y	b ả y
t h a n k s	t h a n k s
t r á n g	t r á n g
k h ă j	k h ă n
h u y ê n	h u y ệ n
s ố t	c ố t
p h k n g	p h o n g
k u ô i	k h ô i
t r u j g	t r u n g
o b j e c t	o b j e c t
a ả n	s ả n
i n l i n e	i n l i n e
g ă m	n ă m
o u ô n	l u ô n
m p r s e	m o r s e
ắ m	m ắ m
q â n	g ầ n
r e b e c c a	r e b e c c a
j y p	j y p
t 3 ẻ	t r ẻ
b ộ t	m ộ t
l c	l ú c
w a t e r g a t r	w a t e r g a t e
t h ô n y	t h ô n g
b â y	b â y
9 x	9 x
r ó n	r ó n
s e c o	s e c o
đ ô s c	đ ố c
o x f o r d	o x f o r d
v z r	v a r
t h ư ở g g	t h ư ở n g
t h u ờ n g	t h ư ờ n g
r r 4 n q	t r a n g
k j ê n q	k i ê n g
b r i t l e f r o n t s	b r i s t l e f r o n t s
đ d	đ e
t r u ể n	t r i ể n
v h ị	c h ị
t h u ậ t	t h u ậ t
t e	t h e
s l á t	s o á t
n ộ	h ộ
d d ạ o	đ ạ o
v j n q r 0 u n	v i n g r o u p
h ú t	p h ú t
n o i	n o i
t a w n b	t ă n g
c h n g	c h ú n g
t ấ t	r ấ t
h i	t h i
c y ấ m	c h ấ m
t ạ i	t ạ o
k u h ệ n	h u y ệ n
f a c e	f a c e
d u g	d u n g
c h u ô n g	c h u ô n g
c h e n h	c h ê n h
h ầ y	h ầ y
n ă n	n ă n g
đ ạ o	đ ạ i
h a	h ả
ư ớ p	c ư ớ p
n i ệ n	h i ệ n
k h ẹ o	k h ẹ o
b a n v	m a n g
l h o ắ n	k h o ắ n
x u â t	x u ấ t
l l ạ i	l o ạ i
b u s i n e s s	b u s i n e s s
h o d y k i t	b o d y k i t
k ắ p	l ắ p
c ư 4	c h ư a
v n d i r e c t	v n d i r e c t
n g y	n g à y
b i g h	b i n h
p r 4 t t	p r a t t
s u m m e r	s u m m e r
t w ơ n g	t ư ơ n g
n ư x a	n ữ a
c ả m	c ả m
t a g	t a g
c h ó b g	c h ó n g
f ậ n	b ậ n
á 0	c á o
r ữ 4	r ữ a
j e s s i c a	j e s s i c a
d d ể m	đ ể m
r i ệ u	r ư ợ u
t ổ h g	t ổ n g
ă n q	t ă n g
o ấ y	l ấ y
k s n d	k s n d
m 0 s c 0 w	m o s c o w
s ế p	x ế p
n a n g	n â n g
c ấ n	v ấ n
g i ò i	g i ò i
4 u 4	q u a
d i e u	d i e u
r o m a n i s	r o m a n i a
r r i	t r i
b 0 ạ t	h o ạ t
b g u ồ n	n g u ồ n
n h z u	n h a u
g r ễ	t r ễ
v i t a m i n	v i t a m i n
v h ế t	c h ế t
m ặ	m ặ c
t h ă n f	t h ă n g
i s t a n g u o	i s t a n b u l
k n ẳ n g	k h ẳ n g
đ q	đ a
g ô n	h ô n
v i ê j n	v i ệ n
h ư ơ g g	h ư ơ n g
n à o	d a t a
h p à n g	h o à n g
l h í q	p h í a
k h 0 é t	k h o é t
g r a b e r	g r a b e r
i k e r	i k e r
v ù n f	v ù n g
h g ư ỡ n g	n g ư ỡ n g
k b o ả n h	k h o ả n h
n h z n h	n h a n h
b á n	b á o
l ủ i	l ủ i
ẹ p	d ẹ p
t ố c	t ố c
đ à n	đ à n
c h ắ c	c h ắ c
d í	d í
n ấ y	n ấ y
t h ớ t	t h ớ t
d a n c e	d a n c e
y o r k	y o r k
f 3 r r 4 t j	f e r r a r i
h o ă j c	h o ặ c
g i ớ u	g i ớ i
q j ỷ	q u ỷ
k b o ả n	k h o ả n
y r a i	t r a i
đ n g	đ o n g
đ a f i	đ à i
r á i	g á i
h ủ t	h ủ y
n h ố	p h ố
k h ẳ j q	k h ẳ n g
h r ư ờ n g	t r ư ờ n g
l e o n a r d o	l e o n a r d o
m ấ u	m ấ u
c o l o m b i a	c o l o m b i a
l o z d	l o a d
n q 0 4 j j	n g o ạ i
n ư ơ c	n ư ớ c
k h h	k h u
p o r t o	p o r t o
đ é o	đ ể
c j n h	s i n h
c ũ n q	c ũ n g
n h h i	n g h i
v o u c h r r	v o u c h e r
s h i n	s h i n
t r á t	t r á t
k ĩ	k ỉ
c h 3 n s 3 4	c h e l s e a
k h	k h i
k h o	k h ó
g i á	g i á o
k j ả n q	k h o ả n g
s a y	s a u
c h u ẫ n	c h u ẩ n
n u	n h u
x u ấ y	x u ấ t
đ a	đ ã
d j ê n	d i ễ n
t r ô i	t r ô i
g h ô n g	t h ô n g
u h o ả n	k h o ả n
t h ả o o	t h ả o o
b e g i n	b e g i n
s a k t i	s a k t i
k i ế b	k i ế n
t a m	t á m
n h ấ t	n h ấ t
l c h	l ị c h
2 k 2	2 k 2
c h u n	c h u n g
d a f i	d à i
đ é o	đ i
v ậ	v ậ t
l ù j	l ù m
v o k a	v o k a
k b	k b
b a l l a d	b a l l a d
l ụ t	l ụ t
l ạ n n	l ạ n h
a e r i e n	a d r i e n
s à n	s à n
n b a	n b a
d ô n g	s ô n g
q u y ề m	q u y ề n
ô n b	ô n g
t ư ơ m	t ư ơ m
j a r d	j a r e d
t ộ	t ộ i
m ê n	n ê n
n q h ệ	n g h ệ
c h ữ i	c h ử i
b ệ n m	b ệ n h
m a j n g	m ạ n g
b a i	b ã i
n q 0 c	n g ọ c
t h ằ b g	t h ằ n g
n t ữ n q	n h ữ n g
q u è	q u è
p h u o n g	p h u o n g
l o r n a	l o r n a
q u á	g i á
g ạ j g	m ạ n g
d ấ	d ấ u
ố i	t ố i
n i ê m	n i ề m
d ụ n n	d ụ n g
h h u ậ n	n h u ậ n
h a a m	h â m
x ú l	x ú i
r ủ i	r ủ i
b ư ợ m	b ạ n
b ớ j	v ớ i
t g i ể n	t r i ể n
m i ế n r	m i ế n g
n h ậ n	n h ậ p
n n	n ê n
g a	r a
m w ợ t	m ư ợ t
m ằ n g	b ằ n g
n ơ	n ợ
h ắ c	n h ắ c
k t	k t
k é l	k é o
â u	â u
k y p 3 r m 0 t 4 r d	h y p e r m o t a r d
f i l e	f i l e
l o a y	l o a y
b l u e	b l u e
n ó g	n ó n g
h ằ n g	b ằ n g
l a m b o r b h o n i	l a m b o r g h i n i
f h ứ c	c h ứ c
t g ư ơ n g	t h ư ơ n g
k ầ	h ầ m
s y r j 4	s y r i a
k y ẩ u	k h ẩ u
u ô n g	u ô n g
r e u t e r s	r e u t e r s
k e m	k é m
t 0 t t 3 n n 4 m	t o t t e n h a m
g ặ m	g ặ m
n u l l a	n u l l a
j e n n e r	j e n n e r
s a l a	s a p a
t h u r y	t h ủ y
h h â n	n h â n
s â u	s â u
v h i e u	c h i ê u
b a r a c k	b a r a c k
k 0 c	h ọ c
c ũ n b	c ũ n g
ấ u	ấ y
v ê	v ệ
k h u ấ h	k h u ấ t
l n	l ợ n
n u ộ t	n u ộ t
c o n t a i n e g	c o n t a i n e r
r ầ n	d ầ n
n h ữ b g	n h ữ n g
x h ư ơ n g	c h ư ơ n g
t ặ p	g ặ p
l o f g r e n	l o f g r e n
d e a d l i n e	d e a d l i n e
n ộ u	n ộ i
t h u ế p	t h i ế p
b ạ n	b ỏ
n ă j n g	n ặ n g
t h y	t h u
t ư ớ h g	t ư ớ n g
t ậ o	t ậ p
b r a z o l	b r a z i l
u y	d u y
t r ù n	t r ù n
k m 1 2 0	k m 1 2 0
y a n g	y a n g
n h ô	n h ô
j v 4 n	i v a n
l ắ m	l ắ m
t r ầ n	t r ầ n
s o n n e	s o n n e
n h ư ỡ n g	n h ư ỡ n g
đ ú n y	đ ú n g
a n g e p a	a n g e l a
b j r n i n g	b u r n i n g
đ n q	đ á n g
q j 4 s m	g i á m
c j ồ n g	c h ồ n g
k n u	k h u
t j ờ j	t h ờ i
t h ử	t h ử
c r e a t e	c r e a t e
c ư n h	c ư n g
k ủ y	h ủ y
g i s n	g i a n
k j ề u	c h i ề u
đ j ể q	đ i ể m
n g h i r	n g h ỉ
c g u a	c h u a
r o n g	t r o n g
b á 0	b á o
t u y ế j	t u y ế n
k h a l	k h a i
r r i ể n	t r i ể n
q u y n	q u y n
l ả	l ả
k u y ế t	h u y ế t
h u ớ n g	h ư ớ n g
t g ê n	t r ê n
c h i ế	c h i ế n
s e r	s ẻ
c ầ b	c ầ n
r ư ơ u	r ư ơ u
p y ạ m	p h ạ m
t r a b g	t r a n g
q u a n g	q u ả n g
r h ờ i	t h ờ i
r â s t t	r ấ t t
l n h	l í n h
k ú t	h ú t
q h é	g h é p
k i c h	k ị c h
t g a n g	t r a n g
k h ỏ i	k h ỏ i
f o o t b a l l	f o o t b a l l
s ă j	s ă n
a r e n t i n a	a r g e n t i n a
n ê g	n ê n
i ệ t	l i ệ t
l ấ t	l ấ y
s ì	d ì
đ á 0	đ á o
n ư ợ n m	l ư ợ n g
r o m n i a	r o m a n i a
t m ứ c	t h ứ c
k h ẩ k	k h ẩ u
d a o	đ a u
c ă t	c ắ t
k j ê n	h i ệ n
o ặ c	h o ặ c
c y i ế n	c h i ế n
n à n v	n à n g
y i ệ n	t i ệ n
â u	c â u
t r à	t r à
i e m s	i t e m s
t h ủ y	t h ủ y
k 4 f n h	h à n h
g h i ê n	n g h i ê n
x á c h	c á c h
n ư x	n ữ
c h ắ t	c h ắ t
t ú p	t ú p
n q j y ễ n	n g u y ễ n
s u ấ t	s u ấ t
a g u i l a r	a g u i l a r
b ờ i	b ờ i
x o y	x o a y
t n ờ i	t h ờ i
n ù j	l ù i
f á o	c á o
n i	n ỗ i
k b ẳ n g	k h ẳ n g
n s	n ó i
t m á n g	t h á n g
s o p h i e	s o p h i e
l a k e r s	l a k e r s
h à n	h à n g
q j y	q u y
e l	e l
c ù n b	c ù n g
t h ố j g	t h ố n g
h ò h	h ò n
t r i e	t r u e
c h n	c h ọ n
t j k	t u k
k k n g	k o n g
c t	c t
t h ẳ m	t h ẳ m
f z	f z
v c 3	v c 3
i ấ y	l ấ y
k h á n q	t h á n g
đ u 4	đ u a
p h ư ợ m g	p h ư ợ n g
4 c	a c
p h ô n	p h ô n g
c 0	c ơ
t a l i b a n	t a l i b a n
h i ế u	c h i ế u
n ỗ l	n ỗ i
n 3 0	l e o
b a f n	b à n
z ố n g	s ố n g
t ỉ q h	t ỉ n h
t d ư ờ n q	t r ư ờ n g
y h ự c	t h ự c
h à i	t à i
l ã h	l ã n h
t â s t	t ấ t
k a s h g a	k a s h g a r
n ư n q	l ư ơ n g
g i a j	g i a n
l ợ h	l ợ n
đ ị g h	đ ị n h
t t ậ n	t r ậ n
r ờ i	t r ờ i
s a m i	s a m i
n 4 m	n ă m
t ả j g	t ả n g
g i á v	g i á c
d ự n r	d ự n g
c h á n	c h á n
b o b b y	b o b b y
b a n d	b a n d
d ụ	v ụ
g ớ i	g i ớ i
m a d	m a d e
l ở	l ở
n g h i ệ n	n g h i ệ n
d ư a	d ư a
a d o r b	a d o r g
g o ấ y	g i ấ y
c h ư w	c h ư a
k j ệ m	h i ệ n
d ạ t	đ ạ t
s á c	c á c
t e ù n g	t r ù n g
h ổ	p h ổ
p u ậ t	p h ậ t
m o b i f o n e	m o b i f o n e
đ ó	đ ó
h y	t y
h ầ m	h ầ m
b i c h b i k e	b i c h b i k e
o ử a	l ử a
t y ư ở n g	t h ư ở n g
t h i n	t h i ệ n
c ứ c	c h ứ c
d i ề y	d i ề u
t h o ả o	t h o ả i
n g h ệ	n g h ệ
m a l a y	m a l a y
n n â n	n g â n
m t t q v n	m t t q v n
m u ơ i	m ư ơ i
m ơ s i	m ớ i
s o n b	s o n g
d á n	d á m
q h ằ m	n h ằ m
k h á s	k h á c
đ ư ờ q	đ ư ờ n g
p h n a 6 2	p h ầ n
c n	c ơ n
v j ệ v	v i ệ c
n q q j ệ p	n g h i ệ p
n i ề u	n h i ề u
e ố n g	s ố n g
t o a	h o a
o c e a n b a n k	o c e a n b a n k
i ỗ i	l ỗ i
t h ầ	t h ầ n
đ à h	đ à n
h i ệ g	h i ệ n
g a d o n	g a d o n
t r ờ j	t r ờ i
m a y	m ấ y
t h á q q	t h á n g
b r a	b r a
r ứ c	r ứ c
b c h	b c h
4 j r	a i r
u e f a	u e f a
p h r a o	p h r a o
c h u ộ x	c h u ộ c
c n ư a	c h ư a
b ố n	b ố i
0 h ẩ u	k h ẩ u
t c p	t c p
v ũ v	v ũ v
x ẻ	x ẻ
d ờ o	d ờ i
b ó n q	b ó n g
n m ằ m	n h ằ m
g ợ	n ợ
ư ớ x	ư ớ c
r a n g	r à n g
t ù	t ù
w a r s	w a r s
f i n l e y	f i n l e y
c á h	c á n h
t t ả	t r ả
g a i	g á i
g h i ệ m	n g h i ệ m
m ỏ i	m ỏ i
c h i l e	c h i l e
k n ỏ 3	k h ỏ e
a q u a m a j	a q u a m a n
t r 4	t r ả
c o m t	c o m m e n t
t í c m	t í c h
đ ị s	đ ị a
0 á n	o á n
h ô n	k h ô n g
t h ả u	t h ả i
v h ỉ	c h ỉ
c h á u	c h á u
4 q	4 g
h e o	h e o
k j ả	g i ả
n ớ n	l ớ n
g r e e	g r e e n
b r z i l	b r a z i l
o h i ế u	p h i ế u
n g o ạ j	n g o ạ i
t r e r	t r ẻ
m z r t y	m a r t y
v u n g	c u n g
d ị v h	d ị c h
r ú n g	r ú n g
ạ n h	c ạ n h
s 8	s 8
n g ừ a	n g ừ a
t c v n	t c v n
c h u y ể j	c h u y ể n
t u á n g	t h á n g
c h ò i	c h ò i
p u y o l	p u y o l
f x c 3	f a c e
s a	s ư a
g ả i	t ả i
t h ắ n n	t h ắ n g
ă n g	ă n g
n k ạ j	l o ạ i
v a l e n c i a	v a l e n c i a
ố n g	s ố n g
a m	a m
b u ô n	b u ô n
đ í t	đ í t
r ầ u	r ầ u
c h ô m	c h ô m
đ ụ c	đ ụ c
t f ọ n q	t r ọ n g
g i	g i
n g u y ễ b	n g u y ễ n
k j â y	g i â y
q 0 ả m	g i ả m
t h u ế t	t h i ế t
f u ộ c	b u ộ c
t i ê t	t i ế t
đ ô j n q	đ ộ n g
k 4 n q	h à n g
n h i ệ y	n h i ệ t
t h ẩ b	t h ẩ m
đ ư ơ n	đ ư ơ n g
l ê n h	l ệ n h
c a m e r a	c a m e r a
d ộ i	d ộ i
c u	c ư
t r u y ê f n	t r u y ề n
c ớ m	s ớ m
à y	n à y
n ă n	n ă m
d o ã n	d o ã n
m u ô	m u ô
t i ế r	t i ế t
t í v h	t í c h
d ố j	đ ố i
a m h	a n h
s k y n d o r	s k e y n d o r
k ê s t	k ế t
s x u	s a u
s ấ t	s u ấ t
g h ị	t h ị
o n l	o n l i n e
t r ư 0 n q	t r ư ơ n g
d ự n m	d ự n g
u 1 5	u 1 5
l e m	l e m
t w ợ n g	t ư ợ n g
s í n h	s í n h
k i d s	k i d s
n g h è o	n g h è o
h g u y	n g u y
p t a	p h a
t h j	t h a i
k h 0 ắ n	k h o ắ n
n ư k	l ư u
t r a	t r a o
p r i n c e t o n	p r i n c e t o n
n j ả y	n h ả y
t h o o n g	t h ô n g
v j ệ q	v i ệ t
p t ẩ m	p h ẩ m
h o g d a	h o n d a
d o u u u	đ â u
x ế l	x ế p
d d i ể m	đ i ể m
t j f n h	t ì n h
u b n d	u b n d
d ố i	d ố i
c l c t g t	c l c t g t
t ằ n	t ằ n
s u p e r m a n	s u p e r m a n
b o l s o r a n o	b o l s o r a n o
f i n i t e	f i n i t e
m 4 0	b a o
p n ư ờ n g	p h ư ờ n g
c o n t a i h e r	c o n t a i n e r
k u i	k h i
4 h	a n h
p g ò n g	p h ò n g
t ế g	t ế t
v ữ	d ữ
d ẫ n	v ẫ n
c t ị u	c h ị u
m w a	m ư a
h a n v	h a n g
v o m	g o m
m u n h	m i n h
k ệ m	k i ệ m
đ ị n j	đ ị n h
3 v 3 n t	e v e n t
a r b e l l a	a r a b e l l a
h ọ x	h ọ c
j j ế n	k i ế n
i à	l à
j h u ô n	k h u ô n
r f b e l	r e b e l
s i g n a l	s i g n a l
a n	a n
t h o r	t h o r
r h ị	t h ị
t h ô i	p h ú t
r á n	r á n
